Time,PCG,ECG
0.1735,-1806.0,4.987
0.174,-3726.0,4.99
0.1745,-5238.0,4.991
0.175,-6220.0,4.991
0.1755,-6307.0,4.988
0.176,-5169.0,4.984
0.1765,-3195.0,4.978
0.177,-638.0,4.972
0.1775,2039.0,4.964
0.178,4616.0,4.955
0.1785,6651.0,4.947
0.179,8048.0,4.939
0.1795,8580.0,4.931
0.18,8183.0,4.923
0.1805,7043.0,4.918
0.181,5507.0,4.914
0.1815,4153.0,4.912
0.182,3289.0,4.911
0.1825,2901.0,4.912
0.183,3002.0,4.915
0.1835,3475.0,4.92
0.184,4159.0,4.927
0.1845,4818.0,4.935
0.185,5222.0,4.944
0.1855,5241.0,4.955
0.186,4857.0,4.965
0.1865,4110.0,4.977
0.187,3087.0,4.987
0.1875,1914.0,4.999
0.188,624.0,5.01
0.1885,-651.0,5.02
0.189,-1876.0,5.028
0.1895,-2894.0,5.035
0.19,-3666.0,5.04
0.1905,-4010.0,5.042
0.191,-4070.0,5.044
0.1915,-3840.0,5.043
0.192,-3528.0,5.041
0.1925,-3198.0,5.037
0.193,-2964.0,5.029
0.1935,-2881.0,5.02
0.194,-2904.0,5.012
0.1945,-3054.0,5.002
0.195,-3266.0,4.992
0.1955,-3463.0,4.982
0.196,-3644.0,4.974
0.1965,-3765.0,4.965
0.197,-3870.0,4.959
0.1975,-3939.0,4.953
0.198,-4009.0,4.95
0.1985,-4088.0,4.949
0.199,-4208.0,4.951
0.1995,-4356.0,4.955
0.2,-4525.0,4.961
0.2005,-4677.0,4.969
0.201,-4755.0,4.978
0.2015,-4747.0,4.989
0.202,-4635.0,5.003
0.2025,-4430.0,5.017
0.203,-4139.0,5.032
0.2035,-3794.0,5.046
0.204,-3418.0,5.061
0.2045,-3019.0,5.075
0.205,-2585.0,5.088
0.2055,-2142.0,5.101
0.206,-1683.0,5.112
0.2065,-1218.0,5.12
0.207,-708.0,5.128
0.2075,-186.0,5.132
0.208,325.0,5.135
0.2085,797.0,5.135
0.209,1198.0,5.131
0.2095,1545.0,5.126
0.21,1825.0,5.119
0.2105,2054.0,5.11
0.211,2249.0,5.099
0.2115,2428.0,5.087
0.212,2581.0,5.075
0.2125,2714.0,5.062
0.213,2868.0,5.05
0.2135,2979.0,5.038
0.214,3057.0,5.026
0.2145,3098.0,5.017
0.215,3091.0,5.008
0.2155,3021.0,5.001
0.216,2918.0,4.995
0.2165,2744.0,4.992
0.217,2462.0,4.99
0.2175,2052.0,4.99
0.218,1538.0,4.99
0.2185,1005.0,4.993
0.219,668.0,4.997
0.2195,739.0,5.001
0.22,1161.0,5.004
0.2205,1617.0,5.01
0.221,2010.0,5.014
0.2215,2379.0,5.019
0.222,2662.0,5.022
0.2225,2933.0,5.026
0.223,3122.0,5.027
0.2235,3151.0,5.028
0.224,3008.0,5.027
0.2245,2779.0,5.024
0.225,2444.0,5.02
0.2255,2057.0,5.014
0.226,1633.0,5.007
0.2265,1203.0,4.999
0.227,776.0,4.989
0.2275,374.0,4.979
0.228,-2.0,4.968
0.2285,-325.0,4.959
0.229,-575.0,4.949
0.2295,-716.0,4.939
0.23,-741.0,4.932
0.2305,-645.0,4.926
0.231,-515.0,4.92
0.2315,-426.0,4.918
0.232,-393.0,4.916
0.2325,-461.0,4.918
0.233,-612.0,4.921
0.2335,-843.0,4.927
0.234,-1227.0,4.933
0.2345,-1657.0,4.942
0.235,-2253.0,4.953
0.2355,-2251.0,4.965
0.236,-3064.0,4.978
0.2365,-2907.0,4.992
0.237,-3386.0,5.007
0.2375,-3116.0,5.021
0.238,-3277.0,5.036
0.2385,-2931.0,5.049
0.239,-2796.0,5.063
0.2395,-2427.0,5.075
0.24,-2215.0,5.085
0.2405,-1945.0,5.094
0.241,-1793.0,5.101
0.2415,-1617.0,5.106
0.242,-1443.0,5.109
0.2425,-1222.0,5.108
0.243,-943.0,5.107
0.2435,-646.0,5.102
0.244,-348.0,5.098
0.2445,-70.0,5.09
0.245,235.0,5.082
0.2455,577.0,5.073
0.246,995.0,5.064
0.2465,1431.0,5.055
0.247,1857.0,5.046
0.2475,2211.0,5.038
0.248,2462.0,5.031
0.2485,2658.0,5.026
0.249,2786.0,5.022
0.2495,2876.0,5.018
0.25,2934.0,5.017
0.2505,2947.0,5.017
0.251,2912.0,5.018
0.2515,2836.0,5.021
0.252,2727.0,5.025
0.2525,2591.0,5.029
0.253,2417.0,5.034
0.2535,2245.0,5.04
0.254,2035.0,5.046
0.2545,1819.0,5.051
0.255,1597.0,5.056
0.2555,1391.0,5.06
0.256,1196.0,5.064
0.2565,1020.0,5.065
0.257,856.0,5.066
0.2575,686.0,5.065
0.258,547.0,5.062
0.2585,416.0,5.057
0.259,302.0,5.051
0.2595,178.0,5.043
0.26,84.0,5.034
0.2605,-111.0,5.024
0.261,-261.0,5.014
0.2615,-478.0,5.002
0.262,-574.0,4.991
0.2625,-869.0,4.981
0.263,-996.0,4.971
0.2635,-1146.0,4.963
0.264,-1307.0,4.955
0.2645,-1406.0,4.95
0.265,-1551.0,4.947
0.2655,-1559.0,4.945
0.266,-1602.0,4.947
0.2665,-1588.0,4.95
0.267,-1664.0,4.955
0.2675,-1739.0,4.962
0.268,-1743.0,4.971
0.2685,-1966.0,4.98
0.269,-1896.0,4.991
0.2695,-2062.0,5.003
0.27,-1903.0,5.016
0.2705,-1978.0,5.028
0.271,-1856.0,5.041
0.2715,-1865.0,5.053
0.272,-1687.0,5.064
0.2725,-1580.0,5.075
0.273,-1343.0,5.084
0.2735,-1197.0,5.09
0.274,-1026.0,5.096
0.2745,-978.0,5.099
0.275,-900.0,5.1
0.2755,-881.0,5.1
0.276,-816.0,5.097
0.2765,-749.0,5.091
0.277,-641.0,5.085
0.2775,-548.0,5.077
0.278,-430.0,5.067
0.2785,-323.0,5.057
0.279,-217.0,5.048
0.2795,-157.0,5.037
0.28,-82.0,5.026
0.2805,-57.0,5.018
0.281,-54.0,5.01
0.2815,-42.0,5.004
0.282,-51.0,4.999
0.2825,-65.0,4.996
0.283,-57.0,4.994
0.2835,-68.0,4.996
0.284,-57.0,4.998
0.2845,-59.0,5.003
0.285,-82.0,5.008
0.2855,-98.0,5.015
0.286,-95.0,5.022
0.2865,-64.0,5.032
0.287,-61.0,5.04
0.2875,-48.0,5.05
0.288,-58.0,5.058
0.2885,-86.0,5.067
0.289,-118.0,5.074
0.2895,-194.0,5.08
0.29,-236.0,5.086
0.2905,-312.0,5.089
0.291,-333.0,5.09
0.2915,-434.0,5.09
0.292,-400.0,5.087
0.2925,-678.0,5.083
0.293,-527.0,5.076
0.2935,-599.0,5.068
0.294,-749.0,5.059
0.2945,-604.0,5.049
0.295,-792.0,5.038
0.2955,-631.0,5.027
0.296,-802.0,5.017
0.2965,-686.0,5.007
0.297,-729.0,4.997
0.2975,-602.0,4.989
0.298,-577.0,4.983
0.2985,-516.0,4.979
0.299,-526.0,4.976
0.2995,-530.0,4.975
0.3,-523.0,4.977
0.3005,-510.0,4.979
0.301,-465.0,4.984
0.3015,-427.0,4.99
0.302,-386.0,4.998
0.3025,-356.0,5.007
0.303,-326.0,5.017
0.3035,-272.0,5.027
0.304,-139.0,5.036
0.3045,16.0,5.047
0.305,209.0,5.057
0.3055,382.0,5.065
0.306,534.0,5.073
0.3065,665.0,5.079
0.307,761.0,5.083
0.3075,863.0,5.086
0.308,941.0,5.087
0.3085,1024.0,5.085
0.309,1060.0,5.082
0.3095,1087.0,5.077
0.31,1095.0,5.069
0.3105,1092.0,5.062
0.311,1076.0,5.053
0.3115,1032.0,5.041
0.312,981.0,5.03
0.3125,914.0,5.018
0.313,867.0,5.007
0.3135,785.0,4.995
0.314,690.0,4.986
0.3145,584.0,4.976
0.315,478.0,4.967
0.3155,388.0,4.96
0.316,302.0,4.956
0.3165,222.0,4.953
0.317,138.0,4.951
0.3175,81.0,4.951
0.318,52.0,4.952
0.3185,44.0,4.954
0.319,61.0,4.959
0.3195,110.0,4.965
0.32,178.0,4.97
0.3205,250.0,4.976
0.321,341.0,4.982
0.3215,424.0,4.989
0.322,511.0,4.995
0.3225,574.0,4.999
0.323,658.0,5.004
0.3235,718.0,5.008
0.324,788.0,5.008
0.3245,844.0,5.007
0.325,899.0,5.005
0.3255,970.0,5.001
0.326,987.0,4.995
0.3265,1100.0,4.986
0.327,1007.0,4.978
0.3275,1201.0,4.967
0.328,783.0,4.955
0.3285,1306.0,4.942
0.329,965.0,4.93
0.3295,1230.0,4.918
0.33,1128.0,4.907
0.3305,1287.0,4.895
0.331,1252.0,4.887
0.3315,1311.0,4.878
0.332,1261.0,4.872
0.3325,1308.0,4.867
0.333,1247.0,4.865
0.3335,1262.0,4.865
0.334,1112.0,4.865
0.3345,1015.0,4.869
0.335,823.0,4.873
0.3355,716.0,4.877
0.336,580.0,4.883
0.3365,466.0,4.89
0.337,311.0,4.898
0.3375,138.0,4.904
0.338,-60.0,4.911
0.3385,-234.0,4.917
0.339,-342.0,4.921
0.3395,-433.0,4.925
0.34,-444.0,4.926
0.3405,-469.0,4.925
0.341,-503.0,4.923
0.3415,-573.0,4.918
0.342,-613.0,4.912
0.3425,-666.0,4.905
0.343,-701.0,4.894
0.3435,-735.0,4.882
0.344,-754.0,4.869
0.3445,-798.0,4.854
0.345,-814.0,4.84
0.3455,-827.0,4.826
0.346,-855.0,4.811
0.3465,-859.0,4.798
0.347,-865.0,4.786
0.3475,-878.0,4.775
0.348,-877.0,4.767
0.3485,-894.0,4.759
0.349,-875.0,4.753
0.3495,-857.0,4.751
0.35,-820.0,4.75
0.3505,-798.0,4.752
0.351,-776.0,4.756
0.3515,-757.0,4.761
0.352,-717.0,4.769
0.3525,-683.0,4.779
0.353,-638.0,4.789
0.3535,-605.0,4.802
0.354,-548.0,4.815
0.3545,-503.0,4.827
0.355,-460.0,4.84
0.3555,-431.0,4.854
0.356,-400.0,4.867
0.3565,-375.0,4.879
0.357,-311.0,4.888
0.3575,-296.0,4.897
0.358,-188.0,4.903
0.3585,-226.0,4.909
0.359,-64.0,4.912
0.3595,-286.0,4.913
0.36,190.0,4.912
0.3605,-95.0,4.91
0.361,217.0,4.907
0.3615,191.0,4.903
0.362,381.0,4.898
0.3625,458.0,4.893
0.363,549.0,4.889
0.3635,678.0,4.885
0.364,755.0,4.884
0.3645,833.0,4.881
0.365,840.0,4.881
0.3655,802.0,4.883
0.366,751.0,4.886
0.3665,678.0,4.891
0.367,621.0,4.899
0.3675,577.0,4.907
0.368,515.0,4.917
0.3685,443.0,4.928
0.369,329.0,4.941
0.3695,185.0,4.953
0.37,42.0,4.968
0.3705,-31.0,4.982
0.371,-67.0,4.997
0.3715,-37.0,5.012
0.372,17.0,5.026
0.3725,73.0,5.038
0.373,100.0,5.05
0.3735,94.0,5.061
0.374,53.0,5.071
0.3745,6.0,5.078
0.375,-30.0,5.084
0.3755,-43.0,5.089
0.376,-45.0,5.09
0.3765,-36.0,5.091
0.377,-8.0,5.09
0.3775,24.0,5.088
0.378,81.0,5.084
0.3785,124.0,5.08
0.379,178.0,5.076
0.3795,228.0,5.072
0.38,263.0,5.068
0.3805,277.0,5.065
0.381,272.0,5.062
0.3815,238.0,5.061
0.382,211.0,5.059
0.3825,181.0,5.06
0.383,156.0,5.062
0.3835,128.0,5.066
0.384,78.0,5.07
0.3845,21.0,5.075
0.385,-45.0,5.082
0.3855,-123.0,5.089
0.386,-193.0,5.098
0.3865,-289.0,5.106
0.387,-345.0,5.114
0.3875,-380.0,5.121
0.388,-368.0,5.129
0.3885,-315.0,5.136
0.389,-235.0,5.143
0.3895,-173.0,5.147
0.39,-123.0,5.15
0.3905,-125.0,5.152
0.391,-191.0,5.152
0.3915,-265.0,5.149
0.392,-368.0,5.145
0.3925,-479.0,5.138
0.393,-600.0,5.131
0.3935,-705.0,5.12
0.394,-826.0,5.11
0.3945,-968.0,5.098
0.395,-1100.0,5.084
0.3955,-1230.0,5.071
0.396,-1287.0,5.058
0.3965,-1384.0,5.047
0.397,-1317.0,5.036
0.3975,-1497.0,5.025
0.398,-970.0,5.018
0.3985,-1276.0,5.012
0.399,-729.0,5.009
0.3995,-856.0,5.008
0.4,-437.0,5.01
0.4005,-435.0,5.014
0.401,-151.0,5.021
0.4015,-61.0,5.03
0.402,181.0,5.04
0.4025,290.0,5.051
0.403,415.0,5.066
0.4035,475.0,5.08
0.404,535.0,5.095
0.4045,578.0,5.11
0.405,626.0,5.125
0.4055,657.0,5.139
0.406,689.0,5.152
0.4065,670.0,5.164
0.407,578.0,5.173
0.4075,447.0,5.181
0.408,313.0,5.187
0.4085,194.0,5.19
0.409,100.0,5.191
0.4095,39.0,5.189
0.41,39.0,5.185
0.4105,5.0,5.18
0.411,-12.0,5.173
0.4115,-30.0,5.164
0.412,-66.0,5.155
0.4125,-112.0,5.146
0.413,-165.0,5.135
0.4135,-218.0,5.126
0.414,-279.0,5.118
0.4145,-333.0,5.111
0.415,-368.0,5.106
0.4155,-373.0,5.101
0.416,-366.0,5.098
0.4165,-353.0,5.1
0.417,-314.0,5.101
0.4175,-265.0,5.104
0.418,-206.0,5.11
0.4185,-130.0,5.116
0.419,-63.0,5.125
0.4195,13.0,5.134
0.42,102.0,5.144
0.4205,185.0,5.154
0.421,270.0,5.164
0.4215,332.0,5.174
0.422,406.0,5.183
0.4225,488.0,5.192
0.423,549.0,5.198
0.4235,617.0,5.204
0.424,654.0,5.207
0.4245,701.0,5.209
0.425,733.0,5.209
0.4255,762.0,5.205
0.426,779.0,5.202
0.4265,784.0,5.196
0.427,766.0,5.188
0.4275,738.0,5.178
0.428,682.0,5.168
0.4285,609.0,5.157
0.429,530.0,5.145
0.4295,437.0,5.134
0.43,349.0,5.123
0.4305,254.0,5.113
0.431,156.0,5.105
0.4315,60.0,5.097
0.432,-38.0,5.092
0.4325,-131.0,5.087
0.433,-200.0,5.086
0.4335,-322.0,5.087
0.434,-353.0,5.089
0.4345,-536.0,5.094
0.435,-497.0,5.099
0.4355,-894.0,5.107
0.436,-496.0,5.115
0.4365,-994.0,5.125
0.437,-697.0,5.136
0.4375,-945.0,5.147
0.438,-778.0,5.158
0.4385,-853.0,5.17
0.439,-760.0,5.181
0.4395,-723.0,5.189
0.44,-601.0,5.198
0.4405,-509.0,5.204
0.441,-406.0,5.209
0.4415,-339.0,5.212
0.442,-244.0,5.212
0.4425,-194.0,5.211
0.443,-79.0,5.207
0.4435,35.0,5.201
0.444,135.0,5.193
0.4445,229.0,5.182
0.445,267.0,5.171
0.4455,294.0,5.16
0.446,319.0,5.146
0.4465,384.0,5.133
0.447,466.0,5.121
0.4475,567.0,5.108
0.448,666.0,5.096
0.4485,738.0,5.087
0.449,795.0,5.078
0.4495,846.0,5.071
0.45,900.0,5.065
0.4505,944.0,5.061
0.451,970.0,5.058
0.4515,990.0,5.057
0.452,990.0,5.056
0.4525,978.0,5.058
0.453,951.0,5.06
0.4535,911.0,5.06
0.454,885.0,5.062
0.4545,857.0,5.061
0.455,826.0,5.059
0.4555,809.0,5.058
0.456,788.0,5.053
0.4565,777.0,5.046
0.457,756.0,5.036
0.4575,739.0,5.023
0.458,718.0,5.007
0.4585,688.0,4.988
0.459,654.0,4.965
0.4595,624.0,4.939
0.46,588.0,4.909
0.4605,549.0,4.877
0.461,500.0,4.843
0.4615,457.0,4.806
0.462,415.0,4.768
0.4625,371.0,4.728
0.463,349.0,4.686
0.4635,347.0,4.646
0.464,334.0,4.605
0.4645,299.0,4.566
0.465,273.0,4.526
0.4655,218.0,4.489
0.466,167.0,4.453
0.4665,81.0,4.418
0.467,8.0,4.383
0.4675,-58.0,4.351
0.468,-115.0,4.319
0.4685,-162.0,4.29
0.469,-207.0,4.261
0.4695,-231.0,4.232
0.47,-250.0,4.206
0.4705,-286.0,4.177
0.471,-302.0,4.15
0.4715,-324.0,4.123
0.472,-318.0,4.096
0.4725,-298.0,4.068
0.473,-301.0,4.04
0.4735,-327.0,4.012
0.474,-352.0,3.982
0.4745,-424.0,3.952
0.475,-442.0,3.923
0.4755,-576.0,3.893
0.476,-530.0,3.864
0.4765,-805.0,3.835
0.477,-298.0,3.807
0.4775,-810.0,3.781
0.478,-221.0,3.757
0.4785,-575.0,3.737
0.479,4.0,3.721
0.4795,-124.0,3.708
0.48,327.0,3.7
0.4805,344.0,3.698
0.481,681.0,3.702
0.4815,724.0,3.713
0.482,922.0,3.73
0.4825,920.0,3.754
0.483,975.0,3.786
0.4835,927.0,3.824
0.484,888.0,3.869
0.4845,835.0,3.921
0.485,747.0,3.979
0.4855,596.0,4.043
0.486,357.0,4.11
0.4865,75.0,4.184
0.487,-276.0,4.26
0.4875,-702.0,4.34
0.488,-1238.0,4.421
0.4885,-1861.0,4.505
0.489,-2641.0,4.587
0.4895,-3582.0,4.67
0.49,-4676.0,4.752
0.4905,-5822.0,4.831
0.491,-6943.0,4.907
0.4915,-7899.0,4.982
0.492,-8564.0,5.051
0.4925,-8930.0,5.117
0.493,-8992.0,5.18
0.4935,-8827.0,5.236
0.494,-8452.0,5.291
0.4945,-7867.0,5.339
0.495,-7150.0,5.384
0.4955,-6327.0,5.424
0.496,-5424.0,5.461
0.4965,-4500.0,5.495
0.497,-3600.0,5.526
0.4975,-2742.0,5.553
0.498,-1931.0,5.578
0.4985,-1141.0,5.6
0.499,-364.0,5.619
0.4995,462.0,5.637
0.5,1285.0,5.653
0.5005,2129.0,5.667
0.501,2941.0,5.679
0.5015,3719.0,5.689
0.502,4374.0,5.698
0.5025,5046.0,5.705
0.503,5791.0,5.709
0.5035,6433.0,5.711
0.504,7052.0,5.711
0.5045,7519.0,5.707
0.505,7901.0,5.702
0.5055,8263.0,5.694
0.506,8582.0,5.682
0.5065,8793.0,5.669
0.507,8850.0,5.652
0.5075,8691.0,5.632
0.508,8558.0,5.608
0.5085,8016.0,5.582
0.509,7418.0,5.554
0.5095,6796.0,5.523
0.51,5973.0,5.49
0.5105,4923.0,5.457
0.511,4223.0,5.421
0.5115,3901.0,5.385
0.512,3844.0,5.35
0.5125,4247.0,5.316
0.513,4799.0,5.282
0.5135,5456.0,5.249
0.514,5871.0,5.22
0.5145,6448.0,5.192
0.515,6099.0,5.167
0.5155,6033.0,5.145
0.516,4875.0,5.126
0.5165,3788.0,5.111
0.517,1857.0,5.099
0.5175,-139.0,5.09
0.518,-2586.0,5.084
0.5185,-4891.0,5.082
0.519,-7261.0,5.081
0.5195,-9119.0,5.082
0.52,-10554.0,5.086
0.5205,-11382.0,5.091
0.521,-11491.0,5.098
0.5215,-10836.0,5.106
0.522,-9449.0,5.114
0.5225,-7559.0,5.123
